fips,state,densityMi,pop2023,,,,,,growth,,BachelorsPercent,AsianPercent,BlackPercent,WhitePercent,AsianBachelors,AsianTotal,BlackBachelors,BlackTotal,WhiteBachelors,WhiteTotal
1,Alabama,101.15897,5123196,,,,,,24450,,26.2,0.512659186,0.183779781,0.287974857,23711,46251,153641,836006,676861,2350417
2,Alaska,1.28344,732385,,,,,,-599,,30,0.261394478,0.20743413,0.35853007,8379,32055,3220,15523,119184,332424
4,Arizona,66.44574,7547837,,,,,,94320,,30.3,0.576203831,0.261170532,0.321662755,96566,167590,52670,201669,1203378,3741117
5,Arkansas,59.20375,3080667,,,,,,17515,,23.8,0.493840985,0.169212979,0.250692207,14994,30362,47703,281911,399195,1592371
6,California,249.08392,38802044,,,,,,-113649,,34.7,0.536262377,0.271058296,0.363306029,2288312,4267150,418855,1545258,5651032,15554468
8,Colorado,56.89956,5897184,,,,,,28629,,41.6,0.514921246,0.272118964,0.438249468,64239,124755,41155,151239,1433617,3271235
9,Connecticut,750.08364,3631905,,,,,,2850,,40,0.663135232,0.229477484,0.427392434,73923,111475,57080,248739,822992,1925612
10,Delaware,536.46691,1045574,,,,,,13589,,32.7,0.636954887,0.233020058,0.340732191,16943,26600,32133,137898,164728,483453
11,District of Columbia,11111.91803,677827,,,,,,3012,,59.8,0.834433168,0.290923346,0.897640702,18335,21973,63453,218109,199366,222100
12,Florida,430.36515,23078331,,,,,,416754,,30.5,0.502574608,0.200717812,0.322582234,215408,428609,433306,2158782,3681302,11411980
13,Georgia,194.08777,11162570,,,,,,124847,,32.2,0.568730835,0.251071692,0.34796902,168594,296439,531982,2118845,1465356,4211168
15,Hawaii,222.05823,1426280,,,,,,-6958,,33.6,0.350402557,0.309177108,0.444679749,149542,426772,5478,17718,116748,262544
16,Idaho,24.30298,2008471,,,,,,34719,,28.7,0.449747535,0.25128999,0.294862221,7482,16636,1461,5814,305211,1035097
17,Illinois,222.86349,12373158,,,,,,-104437,,35.5,0.66303755,0.227422983,0.373211677,331904,500581,264807,1164381,2352264,6302761
18,Indiana,191.81731,6872047,,,,,,19505,,27.2,0.574529697,0.187770149,0.276797309,55156,96002,72634,386824,1051233,3797844
19,Iowa,57.39966,3206173,,,,,,2828,,29.3,0.475605432,0.169474399,0.295056819,22801,47941,10734,63337,569326,1929547
20,Kansas,35.9056,2935606,,,,,,-772,,33.9,0.515526835,0.215831176,0.350512874,28720,55710,22255,103113,573363,1635783
21,Kentucky,114.56597,4523752,,,,,,5721,,25,0.541803185,0.177541602,0.2524342,23647,43645,39892,224691,678115,2686304
22,Louisiana,104.53956,4516527,,,,,,-36857,,24.9,0.439724268,0.165426694,0.284165685,24304,55271,155002,936983,576211,2027729
23,Maine,45.44123,1401544,,,,,,8102,,32.5,0.452569552,0.261321531,0.325513454,4685,10352,2539,9716,304178,934456
24,Maryland,633.02359,6144760,,,,,,-9950,,40.9,0.636602136,0.310821979,0.449272695,174711,274443,378335,1217208,1066652,2374175
25,Massachusetts,893.14641,6966542,,,,,,-7716,,44.5,0.617809204,0.27627839,0.463164342,195890,317072,90687,328245,1771693,3825193
26,Michigan,177.35246,10027331,,,,,,-3391,,30,0.642705697,0.179203466,0.308609396,134589,209410,156095,871049,1696062,5495821
27,Minnesota,71.94306,5728610,,,,,,5713,,36.8,0.456976504,0.221950514,0.379618603,77309,169175,43748,197107,1235192,197107
28,Mississippi,62.2509,2920999,,,,,,-9529,,22.8,0.413550029,0.162611786,0.263110409,8448,20428,113464,697760,319912,1215885
29,Missouri,90.1083,6194225,,,,,,8134,,29.9,0.609128711,0.191016871,0.307940406,50392,82728,84167,440626,1077651,3499544
30,Montana,7.94352,1156147,,,,,,16640,,33.1,0.474715739,0.310603952,0.341411166,3173,6684,1116,3593,226471,663338
31,Nebraska,25.72973,1976661,,,,,,4369,,32.5,0.462413735,0.209006864,0.334953103,13736,29705,11236,53759,372154,1111063
32,Nevada,29.51797,3240512,,,,,,31370,,25.5,0.41395652,0.191220356,0.270720495,80012,193286,34922,182627,372173,1374750
33,New Hampshire,157.5654,1410683,,,,,,7726,,37.6,0.58527627,0.257149573,0.373715518,14660,25048,3282,12763,338880,906786
34,New Jersey,1257.70669,9249175,,,,,,-6262,,40.7,0.710287773,0.252370431,0.41858967,428854,603775,200449,794265,1753118,4188154
35,New Mexico,17.36779,2106678,,,,,,-3333,,28.1,0.537311589,0.304977508,0.31522424,13047,24282,8339,27343,322168,1022028
36,New York,409.88985,19316469,,,,,,-180341,,37.5,0.479188859,0.249062245,0.418773375,571760,1193183,506621,2034114,3690102,8811692
37,North Carolina,225.53682,10965149,,,,,,133088,,32,0.59591704,0.220202073,0.348497932,122775,206027,321292,1459078,1748733,5017915
38,North Dakota,11.33194,781915,,,,,,1327,,30.7,0.526171928,0.227283455,0.316195559,3850,7317,2889,12711,139336,440664
39,Ohio,287.30305,11739490,,,,,,-8284,,28.9,0.605008217,0.180375179,0.297313698,108602,179505,164693,913058,1981894,6666003
40,Oklahoma,59.43509,4076950,,,,,,28575,,26.1,0.422447056,0.210100152,0.277261415,23758,56239,37572,178829,547034,1972990
41,Oregon,43.83682,4207809,,,,,,-16164,,34.4,0.538077507,0.27650996,0.346962776,71242,132401,13922,50349,871804,2512673
42,Pennsylvania,288.13236,12891906,,,,,,-40051,,32.3,0.563466951,0.201945553,0.333247919,170775,303079,182291,902674,2464463,7395284
44,Rhode Island,1051.48162,1087232,,,,,,-3251,,35,0.540174045,0.23819929,0.367834533,12787,23672,10138,42561,225146,612085
45,South Carolina,181.67626,5461370,,,,,,89368,,29,0.526019397,0.166606636,0.333235837,30264,57534,146632,880109,814609,2444542
46,South Dakota,12.36158,937144,,,,,,13660,,29.3,0.487359365,0.193764365,0.309019176,3682,7555,1939,10007,157042,508195
47,Tennessee,175.02886,7217315,,,,,,82988,,28.2,0.561434041,0.210819046,0.291132625,46777,83317,151390,718104,1075103,3692829
48,Texas,118.5574,30970988,,,,,,470708,,30.7,0.593381499,0.255995118,0.315017675,574509,968195,563381,2200749,4110797,13049417
49,Utah,42.15862,3464174,,,,,,41687,,34.7,0.490242627,0.231782985,0.360715939,24368,49706,4520,19501,585921,1624328
50,Vermont,70.22328,647248,,,,,,92,,39.7,0.512104584,0.341736695,0.395765441,3173,6196,1464,4284,166136,419784
51,Virginia,221.22378,8736127,,,,,,26254,,39.5,0.611888322,0.250572125,0.419389806,244059,398862,270664,1080184,1685713,4019442
53,Washington,118.51252,7875868,,,,,,45041,,36.7,0.545124816,0.268721926,0.369194067,261063,478905,50312,187227,1477779,4002716
54,West Virginia,72.98511,1754416,,,,,,-10370,,21.3,0.641028064,0.170823991,0.210532913,6784,10583,7314,42816,253629,1204700
55,Wisconsin,109.26207,5917415,,,,,,12438,,30.8,0.488106858,0.149247067,0.318065549,47505,97325,31755,212768,1109287,3487605
56,Wyoming,6.02697,585177,,,,,,1898,,28.2,0.575150301,0.329030122,0.285569156,2009,3493,994,3021,103444,362238
